nthreads, score
1, 189415728
1, 186395809
1, 187304481
2, 79095564
2, 79793982
2, 79504845
3, 43061944
3, 43344603
3, 42248204
4, 24730698
4, 24083448
4, 25873081
5, 27299293
5, 24794281
5, 24202940
6, 26483115
6, 24170184
6, 25673889
7, 26830213
7, 26474323
7, 27985227
8, 28746786
8, 27697044
8, 28158316
9, 29116107
9, 27410798
9, 27095598
10, 28508053
10, 28266913
10, 28279550
15, 27621075
15, 29886906
15, 27925444
20, 33152038
20, 34814284
20, 32099744
25, 35915875
25, 32894232
25, 38342983
50, 36339952
50, 38379719
50, 41683471
75, 43660283
75, 38692590
75, 39106954
100, 37043564
100, 39472768
100, 46942474